dataset,scenario,seed,split,model,metric,accuracy,balanced_accuracy,macro_f1,fit_seconds,predict_seconds,total_seconds,device,train_size,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,random_state,test_size_ratio,data_cache,input_representation,notes
bank_marketing,full_train_reference,44,bank_marketing_fixed_test_seed44_full_train,LightGBM,accuracy,0.9085,0.7244,0.7511,0.6292,0.0801,0.7092,cpu,36168,9043,45211,16,7,9,51,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,44,bank_marketing_fixed_test_seed44_full_train,XGBoost,accuracy,0.9097,0.7201,0.7501,0.8324,0.0474,0.8798,cpu,36168,9043,45211,16,7,9,51,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,44,bank_marketing_fixed_test_seed44_full_train,TabPFN v2,accuracy,0.9123,0.7167,0.7516,1.2783,78.0605,79.3388,cuda,36168,9043,45211,16,7,9,16,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
bank_marketing,full_train_reference,44,bank_marketing_fixed_test_seed44_full_train,TabICL,accuracy,0.9135,0.7571,0.7755,0.8162,21.4972,22.3134,cuda,36168,9043,45211,16,7,9,16,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
bank_marketing,full_train_reference,45,bank_marketing_fixed_test_seed45_full_train,LightGBM,accuracy,0.9088,0.7311,0.7552,0.6665,0.0841,0.7506,cpu,36168,9043,45211,16,7,9,51,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,45,bank_marketing_fixed_test_seed45_full_train,XGBoost,accuracy,0.9053,0.7131,0.7403,0.8466,0.0504,0.8969,cpu,36168,9043,45211,16,7,9,51,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,45,bank_marketing_fixed_test_seed45_full_train,TabPFN v2,accuracy,0.9103,0.7217,0.7519,1.3311,87.9899,89.321,cuda,36168,9043,45211,16,7,9,16,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
bank_marketing,full_train_reference,45,bank_marketing_fixed_test_seed45_full_train,TabICL,accuracy,0.9104,0.7607,0.7729,0.7404,21.8017,22.5422,cuda,36168,9043,45211,16,7,9,16,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
bank_marketing,full_train_reference,46,bank_marketing_fixed_test_seed46_full_train,LightGBM,accuracy,0.9082,0.7361,0.7573,0.6455,0.0863,0.7319,cpu,36168,9043,45211,16,7,9,51,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,46,bank_marketing_fixed_test_seed46_full_train,XGBoost,accuracy,0.9089,0.727,0.7531,0.8524,0.0501,0.9025,cpu,36168,9043,45211,16,7,9,51,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,46,bank_marketing_fixed_test_seed46_full_train,TabPFN v2,accuracy,0.908,0.7216,0.7488,1.4295,83.2717,84.7012,cuda,36168,9043,45211,16,7,9,16,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
bank_marketing,full_train_reference,46,bank_marketing_fixed_test_seed46_full_train,TabICL,accuracy,0.9093,0.7687,0.7752,0.7513,19.8415,20.5928,cuda,36168,9043,45211,16,7,9,16,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
