dataset,scenario,seed,split,model,metric,accuracy,fit_seconds,predict_seconds,total_seconds,device,train_size,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,random_state,test_size_ratio,data_cache,input_representation,notes
adult,control_10k,46,adult_fixed_test_seed46_train10000,TabICL,accuracy,0.8672,0.6026,4.5637,5.1663,cuda,10000,9769,48842,14,6,8,14,46,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,full_train_reference,42,adult_fixed_test_seed42_full_train,LightGBM,accuracy,0.8751,0.8333,0.0999,0.9332,cpu,39073,9769,48842,14,6,8,105,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,42,adult_fixed_test_seed42_full_train,XGBoost,accuracy,0.8743,1.2593,0.0551,1.3144,cpu,39073,9769,48842,14,6,8,105,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,42,adult_fixed_test_seed42_full_train,TabPFN v2,accuracy,0.865,1.9162,81.1926,83.1088,cuda,39073,9769,48842,14,6,8,14,42,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
adult,full_train_reference,42,adult_fixed_test_seed42_full_train,TabICL,accuracy,0.8729,0.8607,35.0098,35.8705,cuda,39073,9769,48842,14,6,8,14,42,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
adult,full_train_reference,43,adult_fixed_test_seed43_full_train,LightGBM,accuracy,0.8781,0.809,0.1012,0.9102,cpu,39073,9769,48842,14,6,8,105,43,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,43,adult_fixed_test_seed43_full_train,XGBoost,accuracy,0.8781,1.2649,0.0571,1.322,cpu,39073,9769,48842,14,6,8,105,43,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,43,adult_fixed_test_seed43_full_train,TabPFN v2,accuracy,0.8654,1.692,83.1815,84.8734,cuda,39073,9769,48842,14,6,8,14,43,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
adult,full_train_reference,43,adult_fixed_test_seed43_full_train,TabICL,accuracy,0.8717,1.0009,36.1943,37.1951,cuda,39073,9769,48842,14,6,8,14,43,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
adult,full_train_reference,44,adult_fixed_test_seed44_full_train,LightGBM,accuracy,0.8721,1.0528,0.1477,1.2005,cpu,39073,9769,48842,14,6,8,104,44,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
