dataset,train_size_label,train_size,seed,split,model,metric,accuracy,balanced_accuracy,macro_f1,fit_seconds,predict_seconds,total_seconds,device,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,random_state,test_size_ratio,data_cache,input_representation,notes
adult,512,512,45,adult_fixed_test_seed45_train512,TabICL,accuracy,0.8477,0.745,0.7683,0.3689,2.8232,3.1921,cuda,9769,48842,14,6,8,14,45,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=512; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,512,512,46,adult_fixed_test_seed46_train512,LightGBM,accuracy,0.8283,0.7303,0.7463,0.0429,0.118,0.1609,cpu,9769,48842,14,6,8,82,46,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=512 and the fixed Phase 4 baseline settings.
adult,512,512,46,adult_fixed_test_seed46_train512,XGBoost,accuracy,0.8306,0.7283,0.7465,0.0808,0.0489,0.1297,cpu,9769,48842,14,6,8,82,46,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=512 and the fixed Phase 4 baseline settings.
adult,512,512,46,adult_fixed_test_seed46_train512,TabPFN v2,accuracy,0.8443,0.7441,0.7653,0.1257,2.5963,2.722,cuda,9769,48842,14,6,8,14,46,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=512; trained within TabPFN support range.
adult,512,512,46,adult_fixed_test_seed46_train512,TabICL,accuracy,0.8428,0.7411,0.7625,0.3872,2.7903,3.1775,cuda,9769,48842,14,6,8,14,46,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=512; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,2048,2048,42,adult_fixed_test_seed42_train2048,LightGBM,accuracy,0.8508,0.7692,0.7835,0.0849,0.1087,0.1936,cpu,9769,48842,14,6,8,98,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
adult,2048,2048,42,adult_fixed_test_seed42_train2048,XGBoost,accuracy,0.8603,0.7793,0.7959,0.1254,0.0489,0.1743,cpu,9769,48842,14,6,8,98,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
adult,2048,2048,42,adult_fixed_test_seed42_train2048,TabPFN v2,accuracy,0.8552,0.7707,0.7876,0.1412,3.6236,3.7648,cuda,9769,48842,14,6,8,14,42,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; trained within TabPFN support range.
adult,2048,2048,42,adult_fixed_test_seed42_train2048,TabICL,accuracy,0.8556,0.7673,0.7863,0.3669,1.954,2.3209,cuda,9769,48842,14,6,8,14,42,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,2048,2048,43,adult_fixed_test_seed43_train2048,LightGBM,accuracy,0.8525,0.7782,0.7891,0.0846,0.1135,0.1981,cpu,9769,48842,14,6,8,99,43,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
