dataset,train_size_label,train_size,seed,split,model,metric,accuracy,balanced_accuracy,macro_f1,fit_seconds,predict_seconds,total_seconds,device,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,random_state,test_size_ratio,data_cache,input_representation,notes
adult,10000,10000,46,adult_fixed_test_seed46_train10000,LightGBM,accuracy,0.8677,0.7942,0.8088,0.2292,0.0922,0.3214,cpu,9769,48842,14,6,8,104,46,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=10000 and the fixed Phase 4 baseline settings.
adult,10000,10000,46,adult_fixed_test_seed46_train10000,XGBoost,accuracy,0.8705,0.7915,0.81,0.3565,0.0522,0.4086,cpu,9769,48842,14,6,8,104,46,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=10000 and the fixed Phase 4 baseline settings.
adult,10000,10000,46,adult_fixed_test_seed46_train10000,TabPFN v2,accuracy,0.8627,0.7751,0.7959,0.3636,12.0135,12.3771,cuda,9769,48842,14,6,8,14,46,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=10000; trained within TabPFN support range.
adult,10000,10000,46,adult_fixed_test_seed46_train10000,TabICL,accuracy,0.8672,0.7861,0.8048,0.6808,4.7608,5.4416,cuda,9769,48842,14,6,8,14,46,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=10000; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,full,39073,42,adult_fixed_test_seed42_full_train,LightGBM,accuracy,0.8751,0.8004,0.8179,0.7655,0.0917,0.8572,cpu,9769,48842,14,6,8,105,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability full-train row with the fixed Phase 4 baseline settings.
adult,full,39073,42,adult_fixed_test_seed42_full_train,XGBoost,accuracy,0.8743,0.7941,0.8145,1.156,0.0519,1.2079,cpu,9769,48842,14,6,8,105,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability full-train row with the fixed Phase 4 baseline settings.
adult,full,39073,42,adult_fixed_test_seed42_full_train,TabPFN v2,accuracy,0.865,0.7812,0.8007,1.544,84.4905,86.0344,cuda,9769,48842,14,6,8,14,42,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Phase 5 scalability full-train row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
adult,full,39073,42,adult_fixed_test_seed42_full_train,TabICL,accuracy,0.8729,0.7946,0.8135,0.7418,28.0968,28.8386,cuda,9769,48842,14,6,8,14,42,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability full-train row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,full,39073,43,adult_fixed_test_seed43_full_train,LightGBM,accuracy,0.8781,0.8079,0.8236,0.7816,0.0939,0.8754,cpu,9769,48842,14,6,8,105,43,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability full-train row with the fixed Phase 4 baseline settings.
adult,full,39073,43,adult_fixed_test_seed43_full_train,XGBoost,accuracy,0.8781,0.8035,0.8218,1.4854,0.0528,1.5382,cpu,9769,48842,14,6,8,105,43,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability full-train row with the fixed Phase 4 baseline settings.
adult,full,39073,43,adult_fixed_test_seed43_full_train,TabPFN v2,accuracy,0.8654,0.7846,0.8026,1.3099,78.3308,79.6406,cuda,9769,48842,14,6,8,14,43,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Phase 5 scalability full-train row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
adult,full,39073,43,adult_fixed_test_seed43_full_train,TabICL,accuracy,0.8717,0.7891,0.81,0.6603,21.6529,22.3132,cuda,9769,48842,14,6,8,14,43,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability full-train row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,full,39073,44,adult_fixed_test_seed44_full_train,LightGBM,accuracy,0.8721,0.7968,0.8138,0.7712,0.0962,0.8675,cpu,9769,48842,14,6,8,104,44,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability full-train row with the fixed Phase 4 baseline settings.
adult,full,39073,44,adult_fixed_test_seed44_full_train,XGBoost,accuracy,0.8695,0.7868,0.8071,1.1643,0.0524,1.2167,cpu,9769,48842,14,6,8,104,44,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability full-train row with the fixed Phase 4 baseline settings.
adult,full,39073,44,adult_fixed_test_seed44_full_train,TabPFN v2,accuracy,0.8597,0.7682,0.79,1.3318,82.892,84.2237,cuda,9769,48842,14,6,8,14,44,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Phase 5 scalability full-train row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
adult,full,39073,44,adult_fixed_test_seed44_full_train,TabICL,accuracy,0.872,0.7919,0.8115,0.6943,21.4957,22.19,cuda,9769,48842,14,6,8,14,44,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability full-train row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,full,39073,45,adult_fixed_test_seed45_full_train,LightGBM,accuracy,0.8773,0.8002,0.8197,0.7582,0.0955,0.8537,cpu,9769,48842,14,6,8,105,45,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability full-train row with the fixed Phase 4 baseline settings.
adult,full,39073,45,adult_fixed_test_seed45_full_train,XGBoost,accuracy,0.8765,0.7966,0.8176,1.142,0.0503,1.1923,cpu,9769,48842,14,6,8,105,45,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability full-train row with the fixed Phase 4 baseline settings.
adult,full,39073,45,adult_fixed_test_seed45_full_train,TabPFN v2,accuracy,0.8633,0.7784,0.798,1.307,82.8322,84.1392,cuda,9769,48842,14,6,8,14,45,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Phase 5 scalability full-train row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
adult,full,39073,45,adult_fixed_test_seed45_full_train,TabICL,accuracy,0.8693,0.8113,0.8171,0.8808,21.4496,22.3303,cuda,9769,48842,14,6,8,14,45,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability full-train row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,full,39073,46,adult_fixed_test_seed46_full_train,LightGBM,accuracy,0.8734,0.8013,0.8167,0.749,0.0956,0.8445,cpu,9769,48842,14,6,8,105,46,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability full-train row with the fixed Phase 4 baseline settings.
adult,full,39073,46,adult_fixed_test_seed46_full_train,XGBoost,accuracy,0.8729,0.7957,0.8139,1.1442,0.0524,1.1966,cpu,9769,48842,14,6,8,105,46,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability full-train row with the fixed Phase 4 baseline settings.
adult,full,39073,46,adult_fixed_test_seed46_full_train,TabPFN v2,accuracy,0.8633,0.7766,0.7972,1.2608,82.9162,84.177,cuda,9769,48842,14,6,8,14,46,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Phase 5 scalability full-train row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
adult,full,39073,46,adult_fixed_test_seed46_full_train,TabICL,accuracy,0.8677,0.8084,0.8146,0.946,37.7204,38.6664,cuda,9769,48842,14,6,8,14,46,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability full-train row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,512,512,42,bank_marketing_fixed_test_seed42_train512,LightGBM,accuracy,0.8859,0.6099,0.638,0.0609,0.1263,0.1872,cpu,9043,45211,16,7,9,51,42,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=512 and the fixed Phase 4 baseline settings.
bank_marketing,512,512,42,bank_marketing_fixed_test_seed42_train512,XGBoost,accuracy,0.8854,0.6108,0.6387,0.0987,0.0644,0.1631,cpu,9043,45211,16,7,9,51,42,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=512 and the fixed Phase 4 baseline settings.
bank_marketing,512,512,42,bank_marketing_fixed_test_seed42_train512,TabPFN v2,accuracy,0.894,0.6034,0.6366,0.1214,2.6649,2.7863,cuda,9043,45211,16,7,9,16,42,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=512; trained within TabPFN support range.
bank_marketing,512,512,42,bank_marketing_fixed_test_seed42_train512,TabICL,accuracy,0.8941,0.6104,0.6444,0.7176,8.0646,8.7821,cuda,9043,45211,16,7,9,16,42,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=512; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,512,512,43,bank_marketing_fixed_test_seed43_train512,LightGBM,accuracy,0.8861,0.6342,0.6613,0.0462,0.1118,0.158,cpu,9043,45211,16,7,9,51,43,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=512 and the fixed Phase 4 baseline settings.
bank_marketing,512,512,43,bank_marketing_fixed_test_seed43_train512,XGBoost,accuracy,0.8938,0.6648,0.6938,0.0627,0.0418,0.1045,cpu,9043,45211,16,7,9,51,43,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=512 and the fixed Phase 4 baseline settings.
bank_marketing,512,512,43,bank_marketing_fixed_test_seed43_train512,TabPFN v2,accuracy,0.8913,0.6076,0.6394,0.089,2.5038,2.5928,cuda,9043,45211,16,7,9,16,43,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=512; trained within TabPFN support range.
bank_marketing,512,512,43,bank_marketing_fixed_test_seed43_train512,TabICL,accuracy,0.9,0.6486,0.6869,0.3736,14.7811,15.1547,cuda,9043,45211,16,7,9,16,43,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=512; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,512,512,44,bank_marketing_fixed_test_seed44_train512,LightGBM,accuracy,0.8897,0.6514,0.6792,0.0461,0.1045,0.1506,cpu,9043,45211,16,7,9,51,44,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=512 and the fixed Phase 4 baseline settings.
bank_marketing,512,512,44,bank_marketing_fixed_test_seed44_train512,XGBoost,accuracy,0.8935,0.663,0.6921,0.0639,0.0419,0.1058,cpu,9043,45211,16,7,9,51,44,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=512 and the fixed Phase 4 baseline settings.
bank_marketing,512,512,44,bank_marketing_fixed_test_seed44_train512,TabPFN v2,accuracy,0.8995,0.652,0.6892,0.0876,3.2035,3.2911,cuda,9043,45211,16,7,9,16,44,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=512; trained within TabPFN support range.
bank_marketing,512,512,44,bank_marketing_fixed_test_seed44_train512,TabICL,accuracy,0.9043,0.6753,0.7133,0.3718,3.3171,3.6889,cuda,9043,45211,16,7,9,16,44,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=512; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,512,512,45,bank_marketing_fixed_test_seed45_train512,LightGBM,accuracy,0.8883,0.6223,0.6522,0.0699,0.1312,0.2011,cpu,9043,45211,16,7,9,51,45,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=512 and the fixed Phase 4 baseline settings.
bank_marketing,512,512,45,bank_marketing_fixed_test_seed45_train512,XGBoost,accuracy,0.8873,0.6123,0.6415,0.0853,0.0546,0.1399,cpu,9043,45211,16,7,9,51,45,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=512 and the fixed Phase 4 baseline settings.
bank_marketing,512,512,45,bank_marketing_fixed_test_seed45_train512,TabPFN v2,accuracy,0.8912,0.6063,0.6379,0.1103,2.736,2.8463,cuda,9043,45211,16,7,9,16,45,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=512; trained within TabPFN support range.
bank_marketing,512,512,45,bank_marketing_fixed_test_seed45_train512,TabICL,accuracy,0.8938,0.6275,0.6617,0.4556,2.7902,3.2459,cuda,9043,45211,16,7,9,16,45,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=512; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,512,512,46,bank_marketing_fixed_test_seed46_train512,LightGBM,accuracy,0.8901,0.65,0.6783,0.0731,0.1551,0.2282,cpu,9043,45211,16,7,9,51,46,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=512 and the fixed Phase 4 baseline settings.
bank_marketing,512,512,46,bank_marketing_fixed_test_seed46_train512,XGBoost,accuracy,0.8928,0.6515,0.6822,0.1248,0.0728,0.1977,cpu,9043,45211,16,7,9,51,46,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=512 and the fixed Phase 4 baseline settings.
bank_marketing,512,512,46,bank_marketing_fixed_test_seed46_train512,TabPFN v2,accuracy,0.8991,0.6539,0.6905,0.1489,2.6443,2.7932,cuda,9043,45211,16,7,9,16,46,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=512; trained within TabPFN support range.
bank_marketing,512,512,46,bank_marketing_fixed_test_seed46_train512,TabICL,accuracy,0.8991,0.6674,0.7014,0.3924,2.7725,3.165,cuda,9043,45211,16,7,9,16,46,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=512; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,2048,2048,42,bank_marketing_fixed_test_seed42_train2048,LightGBM,accuracy,0.8976,0.66,0.6939,0.1047,0.113,0.2177,cpu,9043,45211,16,7,9,51,42,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
bank_marketing,2048,2048,42,bank_marketing_fixed_test_seed42_train2048,XGBoost,accuracy,0.8957,0.6519,0.6854,0.1105,0.0483,0.1587,cpu,9043,45211,16,7,9,51,42,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
bank_marketing,2048,2048,42,bank_marketing_fixed_test_seed42_train2048,TabPFN v2,accuracy,0.9038,0.6745,0.7121,0.1514,3.7485,3.8999,cuda,9043,45211,16,7,9,16,42,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; trained within TabPFN support range.
bank_marketing,2048,2048,42,bank_marketing_fixed_test_seed42_train2048,TabICL,accuracy,0.9039,0.6725,0.7107,0.4115,1.9627,2.3743,cuda,9043,45211,16,7,9,16,42,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,2048,2048,43,bank_marketing_fixed_test_seed43_train2048,LightGBM,accuracy,0.8962,0.6657,0.6969,0.0948,0.107,0.2018,cpu,9043,45211,16,7,9,51,43,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
bank_marketing,2048,2048,43,bank_marketing_fixed_test_seed43_train2048,XGBoost,accuracy,0.8952,0.666,0.6961,0.1099,0.0471,0.1569,cpu,9043,45211,16,7,9,51,43,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
bank_marketing,2048,2048,43,bank_marketing_fixed_test_seed43_train2048,TabPFN v2,accuracy,0.9028,0.6961,0.7263,0.1729,3.8094,3.9823,cuda,9043,45211,16,7,9,16,43,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; trained within TabPFN support range.
bank_marketing,2048,2048,43,bank_marketing_fixed_test_seed43_train2048,TabICL,accuracy,0.9066,0.7027,0.7353,0.3928,1.8882,2.2811,cuda,9043,45211,16,7,9,16,43,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,2048,2048,44,bank_marketing_fixed_test_seed44_train2048,LightGBM,accuracy,0.8959,0.6865,0.7119,0.0998,0.1137,0.2135,cpu,9043,45211,16,7,9,51,44,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
bank_marketing,2048,2048,44,bank_marketing_fixed_test_seed44_train2048,XGBoost,accuracy,0.9004,0.696,0.7233,0.1114,0.0495,0.1609,cpu,9043,45211,16,7,9,51,44,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
bank_marketing,2048,2048,44,bank_marketing_fixed_test_seed44_train2048,TabPFN v2,accuracy,0.9103,0.7155,0.7482,0.1473,3.5597,3.707,cuda,9043,45211,16,7,9,16,44,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; trained within TabPFN support range.
bank_marketing,2048,2048,44,bank_marketing_fixed_test_seed44_train2048,TabICL,accuracy,0.9063,0.7112,0.7404,0.3843,1.819,2.2034,cuda,9043,45211,16,7,9,16,44,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,2048,2048,45,bank_marketing_fixed_test_seed45_train2048,LightGBM,accuracy,0.8889,0.6439,0.6722,0.0976,0.1068,0.2044,cpu,9043,45211,16,7,9,51,45,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
bank_marketing,2048,2048,45,bank_marketing_fixed_test_seed45_train2048,XGBoost,accuracy,0.8955,0.6612,0.6927,0.1154,0.0444,0.1597,cpu,9043,45211,16,7,9,51,45,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
bank_marketing,2048,2048,45,bank_marketing_fixed_test_seed45_train2048,TabPFN v2,accuracy,0.9011,0.6718,0.707,0.1339,3.4375,3.5714,cuda,9043,45211,16,7,9,16,45,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; trained within TabPFN support range.
bank_marketing,2048,2048,45,bank_marketing_fixed_test_seed45_train2048,TabICL,accuracy,0.8994,0.6733,0.7061,0.4299,1.9353,2.3652,cuda,9043,45211,16,7,9,16,45,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,2048,2048,46,bank_marketing_fixed_test_seed46_train2048,LightGBM,accuracy,0.898,0.6778,0.7081,0.0996,0.1116,0.2111,cpu,9043,45211,16,7,9,51,46,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
bank_marketing,2048,2048,46,bank_marketing_fixed_test_seed46_train2048,XGBoost,accuracy,0.8959,0.675,0.7037,0.1287,0.063,0.1917,cpu,9043,45211,16,7,9,51,46,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
bank_marketing,2048,2048,46,bank_marketing_fixed_test_seed46_train2048,TabPFN v2,accuracy,0.9034,0.6948,0.726,0.1799,3.8261,4.006,cuda,9043,45211,16,7,9,16,46,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; trained within TabPFN support range.
bank_marketing,2048,2048,46,bank_marketing_fixed_test_seed46_train2048,TabICL,accuracy,0.9018,0.6841,0.7168,0.4289,1.9224,2.3513,cuda,9043,45211,16,7,9,16,46,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,8192,8192,42,bank_marketing_fixed_test_seed42_train8192,LightGBM,accuracy,0.905,0.7179,0.7427,0.2106,0.0831,0.2938,cpu,9043,45211,16,7,9,51,42,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=8192 and the fixed Phase 4 baseline settings.
bank_marketing,8192,8192,42,bank_marketing_fixed_test_seed42_train8192,XGBoost,accuracy,0.905,0.7076,0.7364,0.2405,0.0456,0.2861,cpu,9043,45211,16,7,9,51,42,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=8192 and the fixed Phase 4 baseline settings.
bank_marketing,8192,8192,42,bank_marketing_fixed_test_seed42_train8192,TabPFN v2,accuracy,0.909,0.723,0.7509,0.3319,9.3943,9.7262,cuda,9043,45211,16,7,9,16,42,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=8192; trained within TabPFN support range.
bank_marketing,8192,8192,42,bank_marketing_fixed_test_seed42_train8192,TabICL,accuracy,0.9094,0.7355,0.7586,0.4074,3.6059,4.0133,cuda,9043,45211,16,7,9,16,42,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=8192; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,8192,8192,43,bank_marketing_fixed_test_seed43_train8192,LightGBM,accuracy,0.902,0.7026,0.7296,0.2164,0.0821,0.2985,cpu,9043,45211,16,7,9,51,43,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=8192 and the fixed Phase 4 baseline settings.
bank_marketing,8192,8192,43,bank_marketing_fixed_test_seed43_train8192,XGBoost,accuracy,0.9028,0.6986,0.7279,0.2463,0.0431,0.2894,cpu,9043,45211,16,7,9,51,43,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=8192 and the fixed Phase 4 baseline settings.
bank_marketing,8192,8192,43,bank_marketing_fixed_test_seed43_train8192,TabPFN v2,accuracy,0.9102,0.722,0.752,0.2947,9.2747,9.5694,cuda,9043,45211,16,7,9,16,43,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=8192; trained within TabPFN support range.
bank_marketing,8192,8192,43,bank_marketing_fixed_test_seed43_train8192,TabICL,accuracy,0.9079,0.724,0.75,0.4225,3.6062,4.0287,cuda,9043,45211,16,7,9,16,43,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=8192; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,8192,8192,44,bank_marketing_fixed_test_seed44_train8192,LightGBM,accuracy,0.9038,0.6967,0.7279,0.2082,0.0884,0.2966,cpu,9043,45211,16,7,9,51,44,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=8192 and the fixed Phase 4 baseline settings.
bank_marketing,8192,8192,44,bank_marketing_fixed_test_seed44_train8192,XGBoost,accuracy,0.9062,0.6935,0.7287,0.242,0.0443,0.2863,cpu,9043,45211,16,7,9,51,44,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=8192 and the fixed Phase 4 baseline settings.
bank_marketing,8192,8192,44,bank_marketing_fixed_test_seed44_train8192,TabPFN v2,accuracy,0.9104,0.7062,0.7425,0.299,9.3466,9.6456,cuda,9043,45211,16,7,9,16,44,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=8192; trained within TabPFN support range.
bank_marketing,8192,8192,44,bank_marketing_fixed_test_seed44_train8192,TabICL,accuracy,0.9114,0.7358,0.7615,0.4283,3.6489,4.0772,cuda,9043,45211,16,7,9,16,44,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=8192; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,8192,8192,45,bank_marketing_fixed_test_seed45_train8192,LightGBM,accuracy,0.8998,0.7014,0.7262,0.234,0.0911,0.3251,cpu,9043,45211,16,7,9,51,45,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=8192 and the fixed Phase 4 baseline settings.
