dataset,seed,split,strategy,strategy_display,budget,requested_budget,actual_support_size,support_class_counts,model,metric,accuracy,balanced_accuracy,macro_f1,fit_seconds,predict_seconds,total_seconds,device,full_train_size,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,retrieval_n_features_after_encoding,random_state,test_size_ratio,data_cache,input_representation,selection_method,notes
adult,43,adult_fixed_test_seed43_phase6_support_selection,full_context,Full Context,full,39073,39073,"{""<=50K"": 29724, "">50K"": 9349}",TabICL,accuracy,0.8717,0.7891,0.81,0.7567,50.9383,51.695,cuda,39073,9769,48842,14,6,8,14,,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),full_context,Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Full Context. Full Context uses the complete seed-specific training split as a budget-independent reference with support_size=39073.
adult,43,adult_fixed_test_seed43_phase6_support_selection,random_subset,Random Subset,512,512,512,"{""<=50K"": 389, "">50K"": 123}",TabICL,accuracy,0.8477,0.7514,0.7719,0.3999,3.0772,3.4771,cuda,39073,9769,48842,14,6,8,14,,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),random_subset,Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Random Subset. Random Subset samples budget=512 examples without replacement from the training split using the experiment seed.
adult,43,adult_fixed_test_seed43_phase6_support_selection,balanced_random_subset,Balanced Random Subset,512,512,512,"{""<=50K"": 256, "">50K"": 256}",TabICL,accuracy,0.8009,0.8225,0.7658,0.3527,3.1008,3.4535,cuda,39073,9769,48842,14,6,8,14,,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),balanced_random_subset,"Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Balanced Random Subset. Balanced Random Subset uses the frozen class quota rule, then samples within each class for budget=512 using the experiment seed."
adult,43,adult_fixed_test_seed43_phase6_support_selection,balanced_prototype_retrieval,Balanced Prototype Retrieval,512,512,512,"{""<=50K"": 256, "">50K"": 256}",TabICL,accuracy,0.7062,0.7181,0.6648,0.3837,2.8829,3.2666,cuda,39073,9769,48842,14,6,8,14,105.0,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),balanced_prototype_retrieval,"Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Balanced Prototype Retrieval. Balanced Prototype Retrieval uses train-only median/mode imputation, numeric standardization, one-hot categorical encoding, Euclidean distance to class centers, and the frozen class quota rule for budget=512."
adult,43,adult_fixed_test_seed43_phase6_support_selection,random_subset,Random Subset,2048,2048,2048,"{""<=50K"": 1559, "">50K"": 489}",TabICL,accuracy,0.8596,0.7766,0.7941,0.4429,2.1298,2.5726,cuda,39073,9769,48842,14,6,8,14,,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),random_subset,Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Random Subset. Random Subset samples budget=2048 examples without replacement from the training split using the experiment seed.
adult,43,adult_fixed_test_seed43_phase6_support_selection,balanced_random_subset,Balanced Random Subset,2048,2048,2048,"{""<=50K"": 1024, "">50K"": 1024}",TabICL,accuracy,0.8209,0.8362,0.7854,0.3807,2.1554,2.5361,cuda,39073,9769,48842,14,6,8,14,,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),balanced_random_subset,"Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Balanced Random Subset. Balanced Random Subset uses the frozen class quota rule, then samples within each class for budget=2048 using the experiment seed."
adult,43,adult_fixed_test_seed43_phase6_support_selection,balanced_prototype_retrieval,Balanced Prototype Retrieval,2048,2048,2048,"{""<=50K"": 1024, "">50K"": 1024}",TabICL,accuracy,0.7412,0.7749,0.7075,0.4081,2.0748,2.4829,cuda,39073,9769,48842,14,6,8,14,105.0,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),balanced_prototype_retrieval,"Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Balanced Prototype Retrieval. Balanced Prototype Retrieval uses train-only median/mode imputation, numeric standardization, one-hot categorical encoding, Euclidean distance to class centers, and the frozen class quota rule for budget=2048."
adult,43,adult_fixed_test_seed43_phase6_support_selection,random_subset,Random Subset,8192,8192,8192,"{""<=50K"": 6200, "">50K"": 1992}",TabICL,accuracy,0.8672,0.7801,0.802,0.4279,4.2322,4.6601,cuda,39073,9769,48842,14,6,8,14,,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),random_subset,Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Random Subset. Random Subset samples budget=8192 examples without replacement from the training split using the experiment seed.
adult,43,adult_fixed_test_seed43_phase6_support_selection,balanced_random_subset,Balanced Random Subset,8192,8192,8192,"{""<=50K"": 4096, "">50K"": 4096}",TabICL,accuracy,0.8575,0.813,0.8076,0.4283,4.2261,4.6543,cuda,39073,9769,48842,14,6,8,14,,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),balanced_random_subset,"Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Balanced Random Subset. Balanced Random Subset uses the frozen class quota rule, then samples within each class for budget=8192 using the experiment seed."
adult,43,adult_fixed_test_seed43_phase6_support_selection,balanced_prototype_retrieval,Balanced Prototype Retrieval,8192,8192,8192,"{""<=50K"": 4096, "">50K"": 4096}",TabICL,accuracy,0.6387,0.7251,0.6216,0.4423,4.245,4.6874,cuda,39073,9769,48842,14,6,8,14,105.0,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),balanced_prototype_retrieval,"Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Balanced Prototype Retrieval. Balanced Prototype Retrieval uses train-only median/mode imputation, numeric standardization, one-hot categorical encoding, Euclidean distance to class centers, and the frozen class quota rule for budget=8192."
